0.852,0.0354,0.6279,0.2497,0.8534,0.201,0.0459,0.3212,0.6276,0.8536,0.036,0.1348,0.3659,0.6621,0.0572,0.0348,0.03,0.1648,0.6122,0.3208,0.0466,0.1401,0.318,0.5773,0.0243,0.0843,0.0129,0.7476,0.4995,0.7928,0.0242,0.2623,0.0244,0.0231,0.0228,0.0878,0.8521,0.498,0.2072,0.0487,0.1236,0.04,0.064,0.3203,0.3125,0.1026,0.4954,0.5696,0.6005,0.7081,0.1227,0.2727,0.121,0.2181,0.2516,0.0095,0.3365,0.2012,0.3147,0.2036,0.8505,0.2511,0.2876,0.0811,0.0865,0.0818,0.2001,0.0355,0.0925,0.8513,0.2024,0.0182,0.3367,0.2625,0.0932,0.0996,0.0818,0.2123,0.0559,0.5165,0.1576,0.0409,0.3874,0.5432,0.0949,0.4433,0.0105,0.7806,0.1475,0.3813,0.1926,0.0793,0.5568,0.0304,0.0682,0.3591,0.1009,0.319,0.0597,0.4527,0.0119,0.0281,0.7035,0.1877,0.4557,0.1355,0.2275,0.0261,0.167,0.1086,0.0412,0.0785,0.0608,0.5557,0.1371,0.7082,0.18,0.0994,0.4598,0.017,0.85,0.0556,0.3749,0.2475,0.2003,0.8521,0.7492,0.3922,0.1826,0.8527
0.8544,0.0357,0.6703,0.3111,0.8542,0.2011,0.0536,0.3208,0.6268,0.8534,0.0489,0.1445,0.3997,0.6233,0.0479,0.0336,0.0308,0.164,0.6146,0.3175,0.0502,0.1621,0.3282,0.613,0.0223,0.0887,0.0152,0.7478,0.5085,0.7848,0.0366,0.3151,0.0243,0.0236,0.0277,0.0793,0.8525,0.4971,0.2064,0.0478,0.1427,0.0532,0.0634,0.366,0.2761,0.1564,0.495,0.4992,0.6097,0.6867,0.1374,0.3192,0.1205,0.2119,0.2412,0.0092,0.3365,0.211,0.2397,0.2035,0.853,0.2918,0.2876,0.1111,0.0695,0.1145,0.2002,0.0352,0.1052,0.851,0.2029,0.0235,0.3369,0.2418,0.1238,0.0861,0.0818,0.2176,0.0639,0.4791,0.1787,0.0491,0.387,0.5828,0.1043,0.4424,0.0105,0.7748,0.1549,0.3689,0.1984,0.0824,0.5572,0.0299,0.0844,0.3713,0.0958,0.327,0.0632,0.4043,0.016,0.0291,0.7026,0.1893,0.4636,0.1389,0.236,0.0262,0.184,0.1053,0.0413,0.0778,0.0612,0.5431,0.1304,0.7066,0.1585,0.0913,0.4252,0.0146,0.8521,0.0551,0.3613,0.238,0.2005,0.8528,0.7456,0.3581,0.153,0.8523
0.8566,0.036,0.7075,0.4268,0.8569,0.2028,0.0628,0.2929,0.6223,0.8559,0.0656,0.1519,0.4352,0.5799,0.0412,0.033,0.0324,0.1515,0.5885,0.3113,0.055,0.1815,0.3425,0.6428,0.0207,0.0995,0.0206,0.7495,0.5199,0.7717,0.0566,0.3657,0.0243,0.0244,0.0411,0.0697,0.8552,0.4974,0.206,0.0471,0.168,0.0864,0.0634,0.4179,0.2371,0.2673,0.4963,0.4291,0.5756,0.6614,0.1682,0.3928,0.1208,0.202,0.2305,0.0089,0.3384,0.1741,0.1764,0.2052,0.856,0.36,0.2892,0.1561,0.0564,0.1855,0.2019,0.0351,0.1237,0.8536,0.2047,0.0393,0.3389,0.2236,0.2166,0.0734,0.0826,0.2275,0.0725,0.436,0.2147,0.0689,0.388,0.6308,0.129,0.4067,0.0105,0.7697,0.1686,0.3545,0.2094,0.0882,0.5591,0.0295,0.1067,0.3932,0.0914,0.3417,0.068,0.3504,0.0261,0.031,0.7031,0.1931,0.4788,0.1454,0.2582,0.0264,0.222,0.0955,0.0417,0.0775,0.062,0.5303,0.1238,0.7074,0.141,0.0841,0.3961,0.012,0.8551,0.0547,0.3479,0.2289,0.2022,0.8557,0.7444,0.3295,0.1285,0.8549
0.8587,0.0361,0.7233,0.5702,0.8597,0.2052,0.0668,0.2502,0.609,0.8588,0.0739,0.1539,0.4505,0.537,0.0347,0.0323,0.0341,0.1292,0.5444,0.301,0.0605,0.1861,0.3576,0.6493,0.0193,0.1107,0.0255,0.7514,0.5328,0.7567,0.0733,0.375,0.0243,0.0254,0.0595,0.0605,0.8582,0.4982,0.2059,0.0464,0.1886,0.1311,0.0636,0.4371,0.1952,0.399,0.4979,0.3692,0.4894,0.6341,0.2075,0.4502,0.1213,0.182,0.2188,0.0087,0.3412,0.1017,0.1313,0.2077,0.8588,0.4332,0.2914,0.1886,0.0461,0.2884,0.2043,0.0349,0.1531,0.8566,0.2071,0.0653,0.3416,0.2044,0.3665,0.0632,0.0837,0.2403,0.0764,0.3931,0.2579,0.0969,0.3894,0.6568,0.1633,0.3526,0.0105,0.7626,0.1875,0.3388,0.2238,0.0957,0.5614,0.0292,0.1246,0.4215,0.0867,0.3577,0.0729,0.2992,0.0394,0.0332,0.7034,0.194,0.4964,0.1537,0.2858,0.0265,0.273,0.0816,0.0423,0.0768,0.0624,0.5114,0.1179,0.7055,0.1244,0.0769,0.3667,0.0098,0.8578,0.0545,0.3264,0.2172,0.2047,0.8587,0.7424,0.3012,0.1075,0.8581
0.862,0.0362,0.7163,0.6738,0.8638,0.2079,0.0677,0.202,0.5834,0.8631,0.0714,0.1524,0.4419,0.4921,0.0282,0.0304,0.0352,0.101,0.4899,0.2851,0.0662,0.1788,0.3698,0.6419,0.0173,0.1243,0.0294,0.7543,0.5468,0.7413,0.0815,0.3459,0.0244,0.0266,0.0863,0.0512,0.8624,0.4997,0.206,0.0453,0.1988,0.1745,0.0638,0.4343,0.1518,0.4824,0.5,0.3206,0.393,0.6045,0.2642,0.4543,0.1219,0.1515,0.2059,0.0083,0.3445,0.0486,0.1003,0.2105,0.8627,0.49,0.294,0.2001,0.037,0.4046,0.207,0.0349,0.2056,0.8611,0.2097,0.1162,0.3448,0.1778,0.4997,0.0555,0.0849,0.2547,0.0769,0.3492,0.3047,0.1467,0.3912,0.65,0.2128,0.2917,0.0105,0.7585,0.211,0.3202,0.241,0.1043,0.5644,0.0288,0.1371,0.4566,0.0796,0.375,0.0776,0.2483,0.0611,0.0355,0.7036,0.1951,0.5101,0.163,0.3178,0.0269,0.3568,0.0657,0.0431,0.0764,0.063,0.4931,0.1138,0.7044,0.1034,0.0676,0.3275,0.0083,0.8618,0.0545,0.2994,0.2056,0.2074,0.8629,0.7386,0.264,0.0876,0.8627
0.8631,0.036,0.6924,0.7159,0.8654,0.2097,0.0716,0.1544,0.5437,0.8647,0.0628,0.1484,0.4178,0.449,0.0244,0.0282,0.0357,0.0729,0.4279,0.2624,0.0713,0.1645,0.3732,0.631,0.0158,0.141,0.0332,0.7548,0.5593,0.7284,0.084,0.3023,0.0243,0.0282,0.1219,0.0429,0.8642,0.4997,0.2056,0.0437,0.2017,0.2192,0.0638,0.4365,0.115,0.4935,0.5008,0.2812,0.3096,0.581,0.3377,0.4374,0.1221,0.124,0.1941,0.0081,0.3464,0.022,0.0791,0.2123,0.8641,0.5347,0.2956,0.1995,0.0317,0.5282,0.2089,0.0347,0.2535,0.8629,0.2114,0.2165,0.3466,0.1537,0.5685,0.0494,0.0857,0.269,0.0763,0.312,0.3538,0.2342,0.3917,0.6213,0.276,0.2305,0.0105,0.7549,0.2375,0.3021,0.2583,0.1129,0.5657,0.0285,0.1473,0.4983,0.0731,0.3971,0.0824,0.2025,0.0947,0.0374,0.7025,0.2033,0.5192,0.1721,0.3488,0.0281,0.4948,0.0503,0.0442,0.0777,0.0631,0.4836,0.1104,0.7086,0.086,0.0592,0.292,0.0075,0.8632,0.0549,0.2813,0.1993,0.2092,0.8646,0.7346,0.2312,0.0755,0.8645
0.8637,0.0356,0.6572,0.7155,0.8659,0.2108,0.0762,0.113,0.4943,0.8651,0.0519,0.1426,0.3832,0.4089,0.024,0.0278,0.0369,0.05,0.3639,0.2344,0.0751,0.146,0.3633,0.6136,0.0162,0.1481,0.0333,0.7544,0.571,0.7216,0.083,0.2608,0.0243,0.0308,0.1405,0.0358,0.8647,0.4995,0.2052,0.0416,0.2091,0.2607,0.0637,0.4402,0.087,0.4601,0.5011,0.2507,0.2482,0.5678,0.3832,0.431,0.1223,0.1104,0.1863,0.0088,0.3476,0.0113,0.0648,0.2134,0.8647,0.5728,0.2967,0.1943,0.0306,0.6156,0.2099,0.0346,0.2566,0.8633,0.2125,0.3133,0.3477,0.1461,0.5782,0.0472,0.0861,0.2819,0.0759,0.2826,0.3988,0.3151,0.3918,0.5794,0.314,0.1753,0.0105,0.7458,0.2641,0.2866,0.2723,0.1206,0.5666,0.0291,0.1579,0.5408,0.0725,0.4154,0.0879,0.1644,0.1172,0.0389,0.7,0.2127,0.5348,0.1803,0.3675,0.0306,0.6328,0.0376,0.0461,0.0808,0.0607,0.4802,0.1051,0.7137,0.0809,0.0563,0.2808,0.0071,0.8638,0.0564,0.2778,0.1986,0.2103,0.865,0.7363,0.2211,0.073,0.8649
0.8632,0.0347,0.6124,0.6918,0.8649,0.211,0.0785,0.0795,0.4378,0.8639,0.0407,0.1343,0.3405,0.3657,0.0246,0.0287,0.0391,0.0334,0.3007,0.2022,0.0773,0.1244,0.3377,0.585,0.0181,0.1475,0.0325,0.753,0.5817,0.7136,0.0782,0.2193,0.0242,0.0359,0.1413,0.0294,0.8636,0.4985,0.2046,0.0388,0.2179,0.2815,0.0637,0.4379,0.0641,0.4067,0.5005,0.2273,0.2206,0.5542,0.3867,0.4244,0.1224,0.1027,0.1792,0.0103,0.3477,0.0084,0.0552,0.2135,0.8641,0.602,0.2975,0.1863,0.0307,0.6525,0.2101,0.0343,0.2215,0.8621,0.2128,0.3341,0.3479,0.1482,0.5547,0.0485,0.0862,0.2926,0.0763,0.2516,0.4325,0.3503,0.3913,0.5274,0.3228,0.1283,0.0105,0.7307,0.2865,0.2689,0.28,0.1266,0.5664,0.0308,0.1722,0.5742,0.0775,0.4194,0.0958,0.1302,0.1193,0.0399,0.6945,0.2172,0.5534,0.1876,0.3807,0.0359,0.7096,0.028,0.0496,0.0869,0.0576,0.4761,0.0986,0.7138,0.0831,0.057,0.2843,0.0072,0.8631,0.0602,0.2773,0.1996,0.2105,0.864,0.7402,0.2246,0.0731,0.8636
0.8609,0.0332,0.5619,0.6567,0.8623,0.2103,0.093,0.0554,0.3801,0.8608,0.0311,0.1233,0.2945,0.3211,0.0254,0.029,0.0417,0.023,0.2444,0.169,0.0781,0.1021,0.3014,0.5535,0.0207,0.1694,0.0413,0.7501,0.591,0.6993,0.0697,0.1772,0.0241,0.0458,0.1609,0.0238,0.8608,0.4966,0.2035,0.0354,0.2143,0.2709,0.0639,0.4597,0.0467,0.3477,0.4986,0.2093,0.2024,0.5336,0.3674,0.4089,0.1228,0.091,0.1731,0.0121,0.347,0.007,0.0486,0.2128,0.8617,0.6208,0.2982,0.1757,0.0304,0.6648,0.2095,0.0341,0.1785,0.8591,0.2122,0.3074,0.3472,0.1457,0.5161,0.0521,0.0862,0.3018,0.0779,0.2183,0.4515,0.3569,0.3904,0.4705,0.3521,0.0925,0.0104,0.7209,0.304,0.2478,0.282,0.1315,0.5649,0.0336,0.1954,0.6045,0.0847,0.4263,0.1086,0.1013,0.1138,0.0406,0.6884,0.239,0.5612,0.1947,0.4039,0.0473,0.731,0.0213,0.0563,0.1022,0.0567,0.4875,0.0944,0.7255,0.0828,0.0566,0.2814,0.0074,0.8606,0.0675,0.2814,0.2113,0.2099,0.8613,0.7438,0.2224,0.0715,0.8605
0.8636,0.0314,0.513,0.6206,0.8648,0.2108,0.1378,0.0418,0.3357,0.8633,0.0247,0.1111,0.2511,0.2917,0.0313,0.0311,0.0459,0.0177,0.206,0.1432,0.0763,0.0834,0.2677,0.5227,0.0266,0.239,0.0714,0.752,0.6032,0.6901,0.0591,0.1431,0.024,0.0627,0.224,0.0206,0.8634,0.4978,0.2037,0.0325,0.2104,0.2389,0.0647,0.5277,0.0375,0.292,0.4994,0.197,0.1812,0.5234,0.3397,0.4065,0.1242,0.0836,0.1877,0.0166,0.3484,0.0056,0.0443,0.2132,0.8645,0.6359,0.301,0.1641,0.0339,0.6735,0.21,0.034,0.1457,0.8616,0.2127,0.2808,0.3487,0.1514,0.4735,0.0725,0.0868,0.3125,0.0808,0.1965,0.4621,0.3569,0.3922,0.4155,0.433,0.0713,0.0104,0.7252,0.3198,0.2348,0.2839,0.1365,0.5665,0.0382,0.2318,0.6434,0.1009,0.4478,0.1285,0.084,0.1094,0.0413,0.6891,0.297,0.5768,0.2036,0.4446,0.0682,0.7296,0.0174,0.0666,0.1329,0.0647,0.5375,0.1009,0.762,0.0895,0.0595,0.2919,0.0075,0.8633,0.079,0.317,0.2512,0.2104,0.8638,0.7606,0.2325,0.0774,0.8629
